variable type,variable name,HLCA core,HLCA full,explanation,,,,,
,core_or_extension,,x,"Whether a given cell is also present in the HLCA core, or only in the full HLCA (""extension"")",,,,,
,dataset,x,x,"Dataset. This was the variable used for batch correction and data integration. Often corresponds to ""study"", although some studies were split into multiple datasets, e.g. based on sequencing platform. See the HLCA paper for more information on dataset definition.",,,,,
,fresh_or_frozen,x,x,Whether cells come from a fresh or frozen sample.,,,,,
,lung_condition,x,x,Lung condition of donor. ,,,,,
,mixed_ancestry,x,x,Specification of ethnicity/ancestry where a donor was reported as being of mixed ethnicity/ancestry.,,,,,
,original_ann_level_[1-5],x,x,"Original cell type labels, as provided by datasets generators broken down into levels (1 coarsest, 5 finest). To resolve differences in nomenclature and level of annotation detail, these annotations are harmonized based on a mapping of provided labels to a hierarchical common label reference. Where annotations do not go up to level 5, levels without annotations are set to None. Note that a full re-annotation was performed after integration by a HLCA expert team. These annotations can be found under ""ann_level_[1-5]"".",,,,,
,original_ann_nonharmonized,x,x,Original cell type labels before any harmonizing of labels was done.,,,,,
,reannotation_type,x,x,"For cells from the HLCA core: Comparison of ""original_ann_level_[1-5]"" to ""ann_level_[1-5]"". If original and final annotations are contradictory, cells are labeled as ""Misannotated"". Where original labels were correct, but less detailed than final annotations, cells are labeled as ""Underannotated"". Where annotations match both in label and level of annotation, cells are labeled as ""Correctly annotated"".",,,,,
,sample,x,x,Single cell sample ,,,,,
,scanvi_label,x,x,"For the HLCA core: cell type label (from ""original_ann_level_[1-5]"") as used for integration with scANVI",,,,,
,sequencing_platform,x,x,Sequencing platform,,,,,
,smoking_status,x,x,Smoking status ,,,,,
,study,x,x,Study,,,,,
,subject_type,x,x,"Status of donor when sample was taken; subdivided into ""alive_healthy"", ""alive_disease"" and ""organ_donor"". More details can be inferred from ""tissue_sampling_method"".",,,,,
,tissue_coarse_unharmonized,,x,"Anatomical location of sample (coarse), as labeled in original datasets. For harmonized anatomical location information, see ""tissue_level_[1-3]"".",,,,,
,tissue_detailed_unharmonized,,x,"Anatomical location of sample (detailed), as labeled in original datasets. For harmonized anatomical location information, see ""tissue_level_[1-3]"".",,,,,
,tissue_dissociation_protocol,x,x,Protocol used for tissue dissociation into single cells,,,,,
,tissue_level_[2-3],x,x,"Anatomical location of sample in more detail where available. For coarsest level, see ontology-based variable ""tissue"".",,,,,
,tissue_sampling_method,x,x,"Method by which a sample was obtained, e.g. ""biopsy"" or ""autopsy"".",,,,,
,transf_ann_level_[1-5]_label,,x,"For cellx only in the full HLCA (i.e. cells in the HLCA extension), and not in the core: label as transferred from the HLCA core, from coarsest (1) to finest (5) where available. Note that these different levels could contradict each other, given the label transfer algorithm. Furthermore, note that even labels transfered with a high uncertainty are retained here. See ""ann_level_[1-5]"" for filtered transfered labels, where labels with an uncertainty >0.2 are set to unknown.",,,,,
,,,,,,,,,
"3. obs variables, continuous:",,,,,,,,,
,age_or_mean_of_age_range,x,x,"Donor age, or mean of age range where only a range was given. Original age ranges can be found under ""age_range"".",,,,,
,anatomical_region_ccf_score,x,x,"Anatomical region as encoded in a continuous ""common coordinate framework"" score, with lowest (0) corresponding to most proximal (nose) and highest (1) corresponding to most distal (lung parenchyma). See paper for futher details on encoding.",,,,,
,BMI,x,x,BMI of donor.,,,,,
,entropy_[category]_leiden_3,x,,"Entropy of category (e.g. subject_ID, dataset) among cells, at level 3 leiden clusters. This score quantifies the diversity in terms of a category among the cells of a cluster.",,,,,
,leiden_[1-5],x,,"HLCA core clustering, broken down into levels (1 coarsest, 5 finest). Nested clustering was performed, with parent clusters specified in cluster names.",,,,,
,log10_total_counts,x,x,Logartihm (base 10) of total UMI counts per cell.,,,,,
,n_genes_detected,x,,Number of genes detected per cell.,,,,,
,original_ann_highest_res,x,,Highest resolution at which original cell type labels were available for a given cell.,,,,,
,reference_genome,x,,Reference genome used for read alignment.,,,,,
,size_factors,x,,SCRAN normalization factors used to normalize counts in the HLCA core,,,,,
,total_counts,x,x,Total UMI counts per cell.,,,,,
,transf_ann_level_[1-5]_uncert,,x,"Uncertainty of label transfer at a given annotation level, for cells only present in the full HLCA (=HLCA extension)",,,,,
,,,,,,,,,
4. layers,,,,,,,,,
,adata.X,x,x,"For HLCA core: SCRAN-normalized, log-transformed counts. For full HLCA: total-counts normalized, log-transformed counts. Raw counts were normalized for all datasets, except for Meyer_2021, for which  soupX'ed counts were normalized (see layer 'soupX').",,,,,
,adata.raw.X,x,x,Raw counts,,,,,
,adata.layers['soupX'],,x,"Counts corrected for ambient RNA using soupX. Corrected counts were only used for the Meyer_2021 dataset, all other studies are set to 0 in this layer.",,,,,
,,,,,,,,,
5. var variables,,,,,,,,,
,feature_is_filtered,x,x,"CELLxGENE variable, False for all cells",,,,,
,original_gene_symbols,,x,"For the full HLCA, gene name harmonization was done to set all datasets to the same genome annotation version where possible (ensembl 107)",,,,,
,,,,,,,,,
6. obsm matrices,,,,,,,,,
,X_scanvi_emb,x,x,HLCA core: scANVI-based integarted and batch-corrected embedding. Cells present only in the full HLCA (=HLCA extension) were mapped in the same embedding space using scArches.,,,,,
,X_umap,x,x,"UMAP embedding of the cells, based on X_scanvi_emb.",,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
